"A", "Vetiquette", "Anna Karlhede, F-14", ""
"α1", "Du gamla du fria", "Text: Rikard Dybeck", ""
"α2", "Kungssången", "Text: C. V. A. Strandberg
Musik: Otto Lindblad.", ""
"α3", "Sveriges flagga", "Text: KG Ossiannilsson
Musik: Hugo Alfvén", ""
"α4", "Internationalen", "Originaltext: Eugène Pottier
Musik: Pierre Degeyter
Svensk text: Henrik Menander", ""
"α5", "Auld lang syne", "", ""
"B", "Ordningsregler för gasque enl. fkm*", "fkm*", ""
"β1", "Porthos visa", "Tore Norén
Bergsspexet 1960", "You can't get a man with a gun"
"β2", "Lyft ditt välförsedda glas", "Medicinarspexet Göteborg 1970", "Ding dong, merrily on high"
"β3", "Härjavisan", "Text: Hans Alfredsson
Lundaspexet Djingis Khan 1954", "Gärdebylåten"
"β4", "Kalmarevisan", "", ""
"β5", "Jag skall festa", "", "Bamse-låten"
"β6", "Emils spritvisa", "", "Snickerboa"
"β7", "Hej på er vänner alla", "", ""
"β8", "Lille Olle", "Text: Calle Isaksson, D-LiTH", "Katyuscha"
"β9", "Gasqueljäsen", "Fysikalen Kristina 1982", "Marseljäsen/de Lisle"
"β10", "Mattevisan", "Text: Jan-Ola Vensson, F", "Jag är en liten undulat"
"β11", "37:an", "Ur Lunds Fysikteknologers sångbok 1999", "34:an"
"γ1", "Ölbytarvisan", "Fysikalen Wagner 1986", "Kgl Södermanlands Regementes marsch"
"γ2", "Strejk på Pripps", "", "I natt jag drömde"
"γ3", "Ode till ölet", "", "Trampa på gasen"
"γ4", "Min pilsner", "", "My Bonnie"
"γ5", "Sanningen om ölet", "", "Här är gudagott att vara"
"γ6", "Ölvisan", "", "SJ, SJ, gamle vän"
"γ7", "En pilsnerdrickare", "", "En sockerbagare"
"γ8", "Öl, öl, öl i glas", "", "Row, row, row your boat"
"γ9", "Lapin Kulta", "", "Broder Jakob"
"γ10", "Ju mera öl vi dricker", "", "Ju mer vi är tillsammans"
"γ11", "Vi älskar öl", "", "Ser du stjärnan i det blå"
"Δ", "Supregler", "Utdrag ur en pastors anteckningar, 1809", ""
"δ1a", "Helan går", "", ""
"δ1b", "Hell and gore", "", "Helan går"
"δ1c", "Et langue d'or", "", "Helan går"
"δ1d", "Imbelupet", "", "Kors på Idas grav"
"δ1e", "Vem sade ordet "skål"?", "", "Vårvindar friska"
"δ1f", "Ubåten", "", "Jazzgossen"
"δ2a", "När helan en tagit", "", "Skånska slott och härresäten"
"δ2b", "Halvan", "", "Pojkarne"
"δ2c", "Angorakatten", "", "Vi går över daggstänkta berg"
"δ2d", "Helan gick", "", "Amanda Lundbom"
"δ2e", "Helan rasat", "", "Längtan till landet"
